type,n,msecs,kbytes
fillCircles,5000,549,3304.778
fillCircles,5000,1065,3304.778
fillCircles,5000,1720,3304.778
fillCircles,5000,1368,3304.778
fillCircles,5000,785,3304.778
fillCircles,5000,781,3304.778
fillCircles,5000,843,3304.778
fillCircles,5000,1640,3304.778
fillCircles,5000,1345,3304.778
fillCircles,5000,780,3304.778
fillCircles,10000,688,4886.21
fillCircles,10000,3074,4886.21
fillCircles,10000,1502,4886.21
fillCircles,10000,2508,4886.21
fillCircles,10000,1927,4886.21
fillCircles,10000,2190,4886.21
fillCircles,10000,2318,4886.21
fillCircles,10000,1502,4886.21
fillCircles,10000,2629,4886.21
fillCircles,10000,1810,4886.21
fillCircles,50000,1759,6953.129
fillCircles,50000,10565,6953.129
fillCircles,50000,7489,6953.129
fillCircles,50000,7324,6953.129
fillCircles,50000,10234,6953.129
fillCircles,50000,7376,6953.129
fillCircles,50000,7326,6953.129
fillCircles,50000,7309,6953.129
fillCircles,50000,7348,6953.129
fillCircles,50000,8924,6953.129
fillCircles,100000,4418,12985.118
fillCircles,100000,18434,12985.118
fillCircles,100000,16203,12985.118
fillCircles,100000,14427,12985.118
fillCircles,100000,14459,12985.118
fillCircles,100000,16212,12985.118
fillCircles,100000,15305,12985.118
fillCircles,100000,16822,12985.118
fillCircles,100000,15840,12985.118
fillCircles,100000,15828,12985.118
fillCircles,500000,23398,59502.227
fillCircles,500000,83864,59502.227
fillCircles,500000,83751,59502.227
fillCircles,500000,80703,59502.227
fillCircles,500000,81506,59502.227
fillCircles,500000,86187,59502.227
fillCircles,500000,85023,59502.227
fillCircles,500000,80842,59502.227
fillCircles,500000,75182,59502.227
fillCircles,500000,79711,59502.227
fillRect,100,116,1196.36
fillRect,100,106,1196.36
fillRect,100,170,1196.36
fillRect,100,135,1196.36
fillRect,100,112,1196.36
fillRect,100,133,1196.36
fillRect,100,91,1196.36
fillRect,100,104,1196.36
fillRect,100,64,1196.36
fillRect,100,83,1196.36
fillRect,500,145,1250.924
fillRect,500,155,1250.924
fillRect,500,200,1250.924
fillRect,500,199,1250.924
fillRect,500,140,1250.924
fillRect,500,150,1250.924
fillRect,500,152,1250.924
fillRect,500,75,1250.924
fillRect,500,101,1250.924
fillRect,500,111,1250.924
fillRect,1000,176,1645.669
fillRect,1000,214,1645.669
fillRect,1000,248,1645.669
fillRect,1000,146,1645.669
fillRect,1000,127,1645.669
fillRect,1000,132,1645.669
fillRect,1000,122,1645.669
fillRect,1000,111,1645.669
fillRect,1000,95,1645.669
fillRect,1000,127,1645.669
fillRect,5000,439,4847.901
fillRect,5000,435,4847.901
fillRect,5000,510,4847.901
fillRect,5000,552,4847.901
fillRect,5000,526,4847.901
fillRect,5000,539,4847.901
fillRect,5000,505,4847.901
fillRect,5000,502,4847.901
fillRect,5000,370,4847.901
fillRect,5000,426,4847.901
fillRect,10000,464,4921.477
fillRect,10000,694,4921.477
fillRect,10000,750,4921.477
fillRect,10000,1010,4921.477
fillRect,10000,940,4921.477
fillRect,10000,914,4921.477
fillRect,10000,582,4921.477
fillRect,10000,559,4921.477
fillRect,10000,556,4921.477
fillRect,10000,552,4921.477
fillRect,50000,2190,7558.734
fillRect,50000,3479,7558.734
fillRect,50000,3035,7558.734
fillRect,50000,3606,7558.734
fillRect,50000,3919,7558.734
fillRect,50000,3895,7558.734
fillRect,50000,2598,7558.734
fillRect,50000,3820,7558.734
fillRect,50000,2569,7558.734
fillRect,50000,2559,7558.734
fillRect,100000,4414,13663.99
fillRect,100000,6428,13663.99
fillRect,100000,6892,13663.99
fillRect,100000,5128,13663.99
fillRect,100000,5101,13663.99
fillRect,100000,5178,13663.99
fillRect,100000,5187,13663.99
fillRect,100000,5130,13663.99
fillRect,100000,5147,13663.99
fillRect,100000,5110,13663.99
fillRect,500000,14285,64883.133
fillRect,500000,29995,64883.133
fillRect,500000,25385,64883.133
fillRect,500000,28549,64883.133
fillRect,500000,26932,64883.133
fillRect,500000,30046,64883.133
fillRect,500000,28321,64883.133
fillRect,500000,26981,64883.133
fillRect,500000,29749,64883.133
fillRect,500000,31699,64883.133
fillShapes,100,121,1172.215
fillShapes,100,146,1172.215
fillShapes,100,158,1172.215
fillShapes,100,208,1172.215
fillShapes,100,111,1172.215
fillShapes,100,100,1172.215
fillShapes,100,120,1172.215
fillShapes,100,110,1172.215
fillShapes,100,120,1172.215
fillShapes,100,125,1172.215
fillShapes,500,216,1505.991
fillShapes,500,239,1505.991
fillShapes,500,309,1505.991
fillShapes,500,191,1505.991
fillShapes,500,124,1505.991
fillShapes,500,256,1505.991
fillShapes,500,258,1505.991
fillShapes,500,194,1505.991
fillShapes,500,197,1505.991
fillShapes,500,220,1505.991
fillShapes,1000,220,1606.144
fillShapes,1000,372,1606.144
fillShapes,1000,319,1606.144
fillShapes,1000,242,1606.144
fillShapes,1000,173,1606.144
fillShapes,1000,345,1606.144
fillShapes,1000,334,1606.144
fillShapes,1000,313,1606.144
fillShapes,1000,337,1606.144
fillShapes,1000,340,1606.144
fillShapes,5000,564,2004.711
fillShapes,5000,1475,2004.711
fillShapes,5000,1324,2004.711
fillShapes,5000,1171,2004.711
fillShapes,5000,1262,2004.711
fillShapes,5000,1282,2004.711
fillShapes,5000,970,2004.711
fillShapes,5000,700,2004.711
fillShapes,5000,761,2004.711
fillShapes,5000,1321,2004.711
fillShapes,10000,728,2253.257
fillShapes,10000,2823,2253.257
fillShapes,10000,2530,2253.257
fillShapes,10000,1656,2253.257
fillShapes,10000,1412,2253.257
fillShapes,10000,1313,2253.257
fillShapes,10000,1390,2253.257
fillShapes,10000,1308,2253.257
fillShapes,10000,1326,2253.257
fillShapes,10000,1360,2253.257
fillShapes,50000,3068,6176.282
fillShapes,50000,9678,6176.282
fillShapes,50000,6676,6176.282
fillShapes,50000,8045,6176.282
fillShapes,50000,6572,6176.282
fillShapes,50000,9604,6176.282
fillShapes,50000,9634,6176.282
fillShapes,50000,8099,6176.282
fillShapes,50000,6655,6176.282
fillShapes,50000,6608,6176.282
fillShapes,100000,5668,11647.784
fillShapes,100000,15794,11647.784
fillShapes,100000,14602,11647.784
fillShapes,100000,14629,11647.784
fillShapes,100000,14841,11647.784
fillShapes,100000,14559,11647.784
fillShapes,100000,12982,11647.784
fillShapes,100000,13030,11647.784
fillShapes,100000,14608,11647.784
fillShapes,100000,14887,11647.784
fillShapes,500000,23605,54576.916
fillShapes,500000,71786,54576.916
fillShapes,500000,71653,54576.916
fillShapes,500000,74194,54576.916
fillShapes,500000,75527,54576.916
fillShapes,500000,73042,54576.916
fillShapes,500000,69774,54576.916
fillShapes,500000,72363,54576.916
fillShapes,500000,73044,54576.916
fillShapes,500000,73517,54576.916
lines,100,180,1201.458
lines,100,66,1201.458
lines,100,265,1201.458
lines,100,286,1201.458
lines,100,165,1201.458
lines,100,121,1201.458
lines,100,200,1201.458
lines,100,95,1201.458
lines,100,128,1201.458
lines,100,125,1201.458
lines,500,180,1272.178
lines,500,99,1272.178
lines,500,223,1272.178
lines,500,156,1272.178
lines,500,132,1272.178
lines,500,123,1272.178
lines,500,143,1272.178
