type,n,msecs,kbytes
fillShapes,100,6,57.5634765625
fillShapes,100,32,57.609375
fillShapes,100,16,57.65234375
fillShapes,100,17,57.697265625
fillShapes,100,17,57.7431640625
fillShapes,100,16,57.7900390625
fillShapes,100,17,57.8369140625
fillShapes,100,17,57.8837890625
fillShapes,500,26,72.412109375
fillShapes,500,26,72.5205078125
fillShapes,500,28,72.5673828125
fillShapes,500,30,72.6142578125
fillShapes,500,32,72.6611328125
fillShapes,500,30,72.7080078125
fillShapes,500,30,72.7548828125
fillShapes,500,32,72.8017578125
fillShapes,500,31,72.8486328125
fillShapes,500,34,72.8955078125
fillShapes,1000,52,92.412109375
fillShapes,1000,53,92.521484375
fillShapes,1000,56,92.568359375
fillShapes,1000,59,92.615234375
fillShapes,1000,60,92.662109375
fillShapes,1000,59,92.708984375
fillShapes,1000,60,92.755859375
fillShapes,1000,60,92.802734375
fillShapes,1000,58,92.849609375
fillShapes,1000,60,92.896484375
fillShapes,5000,268,372.412109375
fillShapes,5000,288,372.5234375
fillShapes,5000,299,372.5703125
fillShapes,5000,299,372.6171875
fillShapes,5000,297,372.6640625
fillShapes,5000,299,372.7109375
fillShapes,5000,300,372.7578125
fillShapes,5000,298,372.8046875
fillShapes,5000,299,372.8515625
fillShapes,5000,299,372.8984375
fillShapes,10000,545,692.412109375
fillShapes,10000,585,692.5244140625
fillShapes,10000,595,692.5751953125
fillShapes,10000,594,692.6259765625
fillShapes,10000,595,692.6767578125
fillShapes,10000,595,692.7275390625
fillShapes,10000,595,692.7783203125
fillShapes,10000,595,692.8291015625
fillShapes,10000,595,692.8798828125
fillShapes,10000,595,692.9306640625
fillShapes,50000,2419,2614.724609375
fillShapes,50000,2970,2614.8388671875
fillShapes,50000,2985,2614.8916015625
fillShapes,50000,2980,2614.9443359375
fillShapes,50000,2984,2614.9970703125
fillShapes,50000,2980,2615.0498046875
fillShapes,50000,2985,2615.1025390625
fillShapes,50000,2980,2615.1552734375
fillShapes,50000,2982,2615.2080078125
fillShapes,50000,2980,2615.2607421875
fillShapes,100000,5228,5175.255859375
fillShapes,100000,5954,5175.37109375
fillShapes,100000,5961,5175.4228515625
fillShapes,100000,5966,5175.4765625
fillShapes,100000,5962,5175.52734375
fillShapes,100000,5962,5175.5791015625
fillShapes,100000,5960,5175.6328125
fillShapes,100000,5959,5175.68359375
fillShapes,100000,5962,5175.7353515625
fillShapes,100000,5960,5175.7890625
fillShapes,500000,27349,20535.255859375
fillShapes,500000,29776,20535.373046875
fillShapes,500000,29798,20535.427734375
fillShapes,500000,29780,20535.482421875
fillShapes,500000,29790,20535.537109375
fillShapes,500000,29801,20535.591796875
fillShapes,500000,29780,20535.646484375
fillShapes,500000,29799,20535.701171875
fillShapes,500000,29777,20535.755859375
fillShapes,500000,29778,20535.810546875
lines,100,22,56.2744140625
lines,100,23,56.37890625
lines,100,28,56.4189453125
lines,100,26,56.4609375
lines,100,26,56.5
lines,100,26,56.533203125
lines,100,28,56.57421875
lines,100,27,56.6142578125
lines,100,26,56.65625
lines,100,27,56.693359375
lines,500,112,71.2744140625
lines,500,118,71.3798828125
lines,500,121,71.4228515625
lines,500,120,71.4658203125
lines,500,121,71.5087890625
lines,500,120,71.5517578125
lines,500,120,71.5947265625
lines,500,122,71.6376953125
lines,500,121,71.6806640625
lines,500,120,71.7236328125
lines,1000,222,91.2744140625
lines,1000,232,91.380859375
lines,1000,238,91.423828125
lines,1000,236,91.466796875
lines,1000,237,91.509765625
lines,1000,237,91.552734375
lines,1000,238,91.595703125
lines,1000,238,91.638671875
lines,1000,238,91.681640625
lines,1000,236,91.724609375
lines,5000,1139,371.2744140625
lines,5000,1184,371.3828125
lines,5000,1194,371.42578125
lines,5000,1199,371.4697265625
lines,5000,1201,371.515625
lines,5000,1196,371.5576171875
lines,5000,1197,371.603515625
lines,5000,1191,371.6484375
lines,5000,1186,371.69140625
